,item_name,color_1,color_2,shape
187,dinosaurhat1,green,yellow,spiky
188,dog,orange,yellow,rectangle
189,doll1,orange,red,rectangle
190,doll2,purple,orange,round
191,doll3,pink,red,square
192,doughnut,pink,purple,round
193,doughnut1,brown,orange,round
194,doughnut2,pink,purple,round
195,doughnut3,purple,brown,round
196,doughnut4,brown,orange,round
197,doughnut5,purple,pink,round
198,doughnut6,red,orange,round
199,doughnut7,purple,blue,round
200,doughnut8,green,orange,round
201,doughnut9,pink,purple,round
202,drink,green,white,round
203,driver,yellow,blue,triangle
204,driver1,purple,green,square
205,driver2,orange,green,triangle
206,driver3,red,orange,triangle
207,driver4,green,orange,square
208,drum,orange,white,round
209,drumstick,orange,brown,round
210,duck-1,white,yellow,square
211,duck,white,brown,square
212,dumbbell,black,green,round
213,dustbin,green,orange,square
214,eagle,white,yellow,square
215,earth,green,white,round
216,egg,white,brown,round
217,eighthnote,blue,red,round
218,eighthnote1,red,orange,round
219,eighthnote2,yellow,orange,square
220,eighthnote3,green,red,square
221,eighthnote4,purple,pink,round
222,eighthnote5,yellow,orange,round
223,elephant,pink,brown,round
224,energydrink1,orange,red,round
225,energydrink2,green,orange,round
226,energydrink3,orange,red,round
227,exclamationmark,red,orange,rectangle
228,fan,yellow,orange,round
229,fastfoodboxlarge,white,red,round
230,fireaxe,orange,white,round
231,firefighterhat,red,orange,square
232,firstaidkit1,red,orange,rectangle
233,firstaidkit2,green,brown,square
234,fish,orange,yellow,rectangle
235,fish1,blue,purple,rectangle
236,fish2,blue,purple,rectangle
237,fish3,orange,green,rectangle
238,fish4,orange,yellow,rectangle
239,fishbone,yellow,orange,round
240,fishbonetoy,green,orange,spiky
241,fishtoy,green,yellow,square
242,flshlight1,blue,purple,round
243,foodbox,black,green,rectangle
244,foodbox1,orange,red,rectangle
245,foodbox2,orange,red,rectangle
246,foodbox3,orange,yellow,rectangle
247,foodbox4,green,orange,rectangle
248,foodbox5,blue,green,rectangle
249,foodbox6,blue,green,rectangle
250,foodbox7,blue,purple,rectangle
251,foodbox8,purple,red,rectangle
252,foodbox9,pink,purple,rectangle
253,football,green,orange,round
254,fork,orange,white,thin
255,fox,orange,red,spiky
256,frenchbread,orange,brown,round
257,frenchfries,orange,yellow,square
258,friedegg,yellow,orange,round
259,friesbox,orange,red,round
260,frog,green,red,square
261,frozenyogurt,pink,red,round
262,fruitjuice1,orange,white,rectangle
263,fruitjuice2,orange,red,rectangle
264,fry,yellow,orange,rectangle
265,fuelcan,red,orange,round
266,fuelcan1,blue,yellow,rectangle
267,fuelcan2,green,orange,rectangle
268,fuelcan3,purple,red,rectangle
269,fuelcan4,orange,yellow,rectangle
270,fuelcan5,yellow,orange,rectangle
271,garlic,pink,red,round
272,gear,purple,white,round
273,giftbox,purple,orange,square
274,giftbox1,green,red,triangle
275,giftbox2,pink,purple,square
276,giftbox3,orange,brown,square
277,giftbox4,purple,green,square
278,gingerbread,brown,orange,rectangle
279,giraffe,yellow,brown,square
280,globe,green,purple,round
281,goust,pink,white,round
282,grape,purple,red,rectangle
283,grilledcheese,orange,yellow,rectangle
284,grilledcheesetriangle,orange,yellow,rectangle
285,guitar,pink,purple,square
286,hairstraightner,purple,pink,square
287,ham,orange,brown,round
288,hamburger,orange,red,square
289,hamburgernormal,orange,red,round
290,hammer1,orange,blue,thin
291,hammer2,orange,blue,square
292,hammer3,orange,blue,round
293,harp,brown,orange,triangle
294,hat,brown,orange,round
295,headphones,green,blue,square
296,hen,red,orange,square
297,highlighterpen1,yellow,black,round
298,highlighterpen2,blue,purple,round
299,highlighterpen3,purple,pink,round
300,hippo,purple,pink,square
301,honey,orange,yellow,round
302,honeyjar,yellow,orange,round
303,horse,brown,orange,spiky
304,horse1,brown,orange,spiky
305,hotdog,red,orange,rectangle
306,house,green,orange,square
307,ice,blue,purple,square
308,icecream,yellow,orange,round
309,icecream1,brown,black,round
310,icecream10,yellow,white,round
311,icecream11,orange,brown,rectangle
312,icecream2,orange,red,round
313,icecream3,pink,white,round
314,icecream4,yellow,black,round
315,icecream5,red,orange,round
316,icecream6,blue,white,round
317,icecream7,green,white,square
318,icecream8,orange,yellow,round
319,icecream9,purple,blue,round
320,icecreamcone,pink,purple,round
321,icecreamcone1,brown,orange,round
322,icecreamcone2,yellow,orange,thin
323,igloo,purple,white,round
324,ink,yellow,orange,round
325,jam,orange,red,round
326,jar,orange,yellow,round
327,jigsaw,green,orange,square
328,jigsaw1,orange,red,rectangle
329,jigsaw2,blue,purple,square
330,jigsaw3,orange,yellow,rectangle
331,jigsaw4,purple,pink,square
332,jigsaw5,yellow,orange,square
333,juice,orange,green,square
334,ketchupsauce,red,orange,square
335,kettle,yellow,blue,round
336,kiwi,green,brown,round
337,kleenex,white,brown,square
338,ladybug,red,black,round
339,lamp,pink,purple,round
340,largesoda,green,white,round
341,lasergun,blue,yellow,round
342,leaf,green,brown,square
343,lemon,yellow,orange,round
344,leopard,yellow,orange,spiky
345,lesserpanda,brown,orange,spiky
346,letter,pink,white,square
347,lipstick,pink,yellow,round
348,lobstertoy,orange,red,round
349,lobstertoy2,blue,purple,round
350,lobstertoy3,green,purple,round
351,lobstertoy4,orange,yellow,rectangle
352,lobstertoy5,yellow,orange,round
353,lobstertoy6,pink,purple,round
354,log,brown,orange,round
355,log1,brown,green,square
356,log2,green,brown,round
357,lollipop1,orange,red,round
358,lollipop2,blue,green,round
359,macaron,red,pink,round
360,macaron1,purple,pink,round
361,macaron2,orange,yellow,round
362,macaron3,blue,green,round
363,macaron4,green,orange,round
364,macaron5,yellow,orange,round
365,magnifyingglass,yellow,orange,round
366,makeupbrush,purple,black,round
367,masturdsauce,yellow,orange,round
368,matchbox,orange,red,rectangle
369,meat1,red,orange,round
370,meat2,orange,red,round
371,medicalpil1,red,orange,round
372,medicalpil2,orange,red,rectangle
373,megaphone,red,orange,round
374,meteor,purple,black,round
375,mike,orange,red,round
376,milk,blue,green,round
377,milkybar,orange,red,rectangle
378,monitor,white,black,rectangle
379,monkey,brown,orange,square
380,moon,white,purple,round
381,moscowbun,orange,red,round
382,mouse,pink,purple,round
383,mousetoy,blue,purple,round
384,muffin,orange,brown,round
385,mushroom,brown,white,round
386,nacho,yellow,orange,triangle
387,newspaper,black,orange,square
388,note,brown,orange,rectangle
389,number0,white,orange,round
390,number1,red,orange,thin
391,number2,yellow,orange,square
392,number3,orange,red,square
393,number4,green,yellow,triangle
394,number5,green,white,square
395,number6,blue,green,square
396,number7,blue,green,rectangle
397,number8,blue,brown,round
398,number9,purple,green,square
399,octopus,red,pink,round
400,octopus1,purple,blue,round
401,octopus2,green,yellow,spiky
402,octopus3,orange,red,round
403,octopus4,purple,pink,round
404,onion,orange,red,round
405,onionring,yellow,orange,round
406,orange,orange,green,round
407,owl,brown,orange,round
408,paintcontainer1,green,white,round
409,paintcontainer2,yellow,orange,round
410,paintcontainer3,blue,purple,round
411,paintcontainer4,orange,red,round
412,pan,purple,black,round
413,pancake,orange,yellow,round
414,pancakes,yellow,orange,round
415,panda,white,black,round
416,paperplane,white,blue,square
417,pea,green,orange,round
418,peanutbutter,orange,brown,round
419,pen,black,white,square
420,pencil,orange,yellow,round
421,pencilcolored1,yellow,orange,round
422,pencilcolored10,red,orange,triangle
423,pencilcolored2,blue,green,round
424,pencilcolored3,blue,orange,rectangle
425,pencilcolored4,green,white,rectangle
426,pencilcolored5,green,yellow,rectangle
427,pencilcolored6,green,brown,round
428,pencilcolored7,orange,yellow,rectangle
429,pencilcolored8,purple,pink,round
430,pencilcolored9,purple,orange,round
431,piano,brown,orange,rectangle
432,piano1,blue,orange,rectangle
433,pickaxe,orange,blue,square
434,pie,orange,yellow,square
435,pig,pink,purple,rectangle
436,pillow,red,orange,round
437,pillow1,blue,orange,round
438,pillow2,orange,yellow,rectangle
439,pillow3,purple,red,round
440,pillow4,green,orange,rectangle
441,pillow5,yellow,orange,rectangle
442,pizza,red,orange,rectangle
443,plane,blue,red,round
444,planet,orange,purple,round
445,pogostick,green,red,square
446,popsicle1,orange,brown,thin
447,popsicle2,orange,yellow,spiky
448,potionblue,blue,green,round
449,potionred,red,orange,round
450,pretzel,orange,yellow,round
451,pumpkin,orange,yellow,round
452,quail,brown,red,spiky
453,queen,yellow,white,round
454,questionbox,white,orange,square
455,questionmark,green,brown,square
456,rabbit,white,purple,round
457,radio,pink,purple,rectangle
458,rainbow,orange,green,round
459,ramen,orange,red,round
460,rhino1,purple,blue,square
461,ring,pink,yellow,round
462,robot,blue,yellow,square
463,robot1,blue,purple,spiky
464,rocket,orange,red,round
465,rocket1,orange,red,round
466,rockinghorse,yellow,orange,round
467,rollerskate,green,orange,square
468,rose,red,orange,round
469,rubberduck,yellow,orange,square
470,rugbyball,brown,orange,round
471,sandwich,orange,green,rectangle
472,sandwichtriangle,orange,pink,rectangle
473,sausage,red,brown,round
474,sawblade,purple,blue,round
475,scissors,orange,red,triangle
476,scooter,pink,red,round
477,scroll,orange,yellow,square
478,scroll2,yellow,orange,square
479,shake1,red,brown,round
480,shake2,red,orange,round
481,shake3,red,orange,round
482,shark,blue,purple,spiky
483,sheep,white,pink,square
484,sheep1,pink,purple,round
485,sheep2,white,brown,round
486,ship,green,yellow,square
487,shoes,pink,white,round
488,shovel,orange,blue,triangle
489,singlebarnote,blue,purple,square
490,skateboard,orange,brown,rectangle
491,smarphones,black,white,rectangle
492,smoothie,white,red,round
493,sodabottle1,orange,red,round
494,sodabottle2,orange,red,round
495,sodebottle3,white,black,round
496,soupladle,purple,green,round
497,spikytoy,black,orange,spiky
498,spikytoy1,red,orange,spiky
499,spikytoy2,orange,yellow,spiky
500,spikytoy3,yellow,orange,spiky
501,spikytoy4,green,orange,spiky
502,spikytoy5,green,blue,spiky
503,spikytoy6,blue,orange,spiky
504,spikytoy7,blue,orange,spiky
505,spikytoy8,purple,blue,spiky
506,spikytoy9,pink,purple,spiky
507,spoon,orange,red,thin
508,star,yellow,orange,triangle
509,steakknife,orange,blue,rectangle
510,survivalbag1,orange,yellow,square
511,survivalbag2,yellow,brown,square
512,sweetbun,orange,brown,round
513,sword,purple,green,square
514,table,brown,orange,square
515,taco,green,orange,rectangle
516,tambourine,orange,yellow,round
517,tape1,brown,orange,round
518,tape2,blue,purple,round
519,tapedispenser1,red,orange,rectangle
520,tapedispenser2,green,white,rectangle
521,teddybear,brown,green,round
522,telescope1,blue,purple,round
523,telescope2,red,orange,round
524,texta,green,blue,triangle
525,textb,yellow,brown,rectangle
526,textc,orange,red,square
527,textd,blue,brown,square
528,texte,red,orange,square
529,textf,purple,green,square
530,textg,green,white,square
531,texth,blue,purple,square
532,texti,brown,black,rectangle
533,textj,yellow,orange,square
534,textk,blue,brown,square
535,textl,brown,orange,rectangle
536,textm,pink,brown,square
537,textn,brown,green,square
538,texto,pink,red,round
539,textq,brown,orange,round
540,textr,purple,red,round
541,texts,blue,green,square
542,textt,blue,white,thin
543,textu,orange,red,square
544,textv,white,red,square
545,textw-1,green,white,square
546,textw,blue,white,square
547,textx,pink,red,triangle
548,texty,white,red,rectangle
549,textz,purple,red,rectangle
550,tiger,orange,brown,rectangle
551,tomato,orange,red,round
552,toothbrush,pink,purple,round
553,toytrumpet,orange,yellow,round
554,trafficcone,orange,yellow,triangle
555,train,yellow,orange,square
556,treat,brown,black,rectangle
557,tree,green,brown,round
558,trumpet,yellow,orange,spiky
559,tube,red,white,round
560,tube1,blue,white,round
561,tube2,green,white,round
562,tube3,purple,white,round
563,tube4,orange,yellow,round
564,tube5,yellow,white,round
565,turtle1,green,orange,rectangle
566,ufo,green,blue,round
567,umbrella,green,orange,round
568,v,brown,red,round
569,violin,orange,brown,triangle
570,volleyball,yellow,white,round
571,wafer,brown,orange,square
572,waffle,yellow,orange,round
573,walkietalkie,green,black,rectangle
574,walkietalkie1,blue,black,rectangle
575,waterbottle2,blue,purple,round
576,watergun1,orange,blue,rectangle
577,watergun2,green,yellow,spiky
578,watergun3,pink,green,square
579,watergun4,orange,yellow,rectangle
580,watermelon,orange,green,round
581,whale,blue,purple,round
582,wheel,black,green,round
583,whistle,yellow,orange,rectangle
584,window,green,blue,rectangle
585,wolf,brown,purple,round
586,woodbarrel,brown,orange,round
587,woodcrate,brown,orange,square
588,woodentrainfront,orange,red,square
589,woodentrainwagon1,orange,yellow,rectangle
590,woodentrainwagon2,red,orange,square
591,woodentrainwagon3,orange,yellow,rectangle
592,wrench,purple,blue,square
593,xylophone,orange,brown,square
594,yam,red,orange,round
595,yarn,yellow,orange,round
596,yogurt,purple,white,round
597,zebra,white,purple,rectangle
